,t_real,t_feels_like,humidity,wind_speed,t_percent
10,3.0,0.07900000000000018,93.0,12.0,12.676056338028168
11,2.0,-1.0,100.0,12.0,9.859154929577464
12,2.0,-1.1070000000000002,96.5,13.0,9.859154929577464
13,3.0,-0.23899999999999988,87.0,15.0,12.676056338028168
15,2.0,-0.9140000000000001,93.0,11.0,9.859154929577464
16,3.0,0.07900000000000018,93.0,12.0,12.676056338028168
17,3.0,0.17899999999999983,93.0,11.0,12.676056338028168
36,10.0,7.75,85.0,11.0,32.3943661971831
40,10.0,7.4350000000000005,73.5,13.0,32.3943661971831
41,9.5,6.9982500000000005,73.5,12.0,30.985915492957744
42,9.5,6.7555,69.0,14.0,30.985915492957744
43,9.0,6.239,71.0,14.0,29.577464788732392
44,9.0,6.239,71.0,14.0,29.577464788732392
45,9.0,6.539,71.0,11.0,29.577464788732392
50,8.0,5.508,76.0,11.0,26.76056338028169
51,8.0,5.208,76.0,14.0,26.76056338028169
52,8.5,6.02475,73.5,11.0,28.169014084507044
53,8.0,5.256,82.0,14.0,26.76056338028169
54,8.0,5.176,84.5,15.0,26.76056338028169
55,9.0,6.438,82.0,13.0,29.577464788732392
56,9.0,6.538,82.0,12.0,29.577464788732392
57,9.0,6.183,87.0,16.0,29.577464788732392
58,10.0,6.93,88.0,19.5,32.3943661971831
59,10.0,7.08,88.0,18.0,32.3943661971831
60,11.0,8.035,85.0,19.0,35.2112676056338
61,9.5,5.55275,84.5,27.5,30.985915492957744
62,9.0,5.039,71.0,26.0,29.577464788732392
63,8.0,4.268000000000001,71.0,23.0,26.76056338028169
64,8.0,4.598,68.5,19.5,26.76056338028169
65,7.5,3.8324999999999996,71.0,22.0,25.352112676056336
66,7.0,3.747,71.0,17.5,23.943661971830984
67,6.0,2.956,76.0,15.0,21.12676056338028
68,5.5,2.43175,78.5,15.0,19.718309859154928
69,5.0,1.9050000000000002,81.0,15.0,18.30985915492958
70,4.5,1.5644999999999998,81.0,13.0,16.901408450704224
71,4.0,1.1360000000000001,84.0,12.0,15.492957746478872
72,4.0,1.124,81.0,12.0,15.492957746478872
73,4.0,1.2240000000000002,81.0,11.0,15.492957746478872
79,5.5,2.6455,81.0,13.0,19.718309859154928
80,6.5,3.5265,81.0,15.0,22.535211267605636
81,8.0,4.708,76.0,19.0,26.76056338028169
82,8.0,4.7059999999999995,82.0,19.5,26.76056338028169
83,9.0,5.584,76.0,21.0,29.577464788732392
84,9.0,4.984,76.0,27.0,29.577464788732392
85,9.5,5.379250000000001,71.5,28.0,30.985915492957744
86,10.0,5.77,62.0,28.5,32.3943661971831
87,9.0,5.1165,68.5,25.0,29.577464788732392
88,9.0,5.184,76.0,25.0,29.577464788732392
89,9.5,5.77925,71.5,24.0,30.985915492957744
90,10.0,5.71,71.0,30.0,32.3943661971831
91,10.0,5.74,79.0,30.5,32.3943661971831
92,10.0,6.119999999999999,82.0,27.0,32.3943661971831
93,10.0,6.119999999999999,82.0,27.0,32.3943661971831
94,10.0,6.45,85.0,24.0,32.3943661971831
95,11.0,7.302,82.0,26.0,35.2112676056338
96,11.5,8.0775,85.0,24.0,36.61971830985916
97,12.0,8.484,82.0,25.0,38.028169014084504
98,12.0,8.82,85.0,22.0,38.028169014084504
99,12.0,9.006,88.0,20.5,38.028169014084504
100,12.0,8.91,80.0,20.5,38.028169014084504
101,11.5,8.65675,74.5,17.0,36.61971830985916
102,10.5,7.66625,82.5,17.0,33.80281690140845
103,9.5,6.93125,87.5,14.0,30.985915492957744
104,9.0,6.4830000000000005,87.0,13.0,29.577464788732392
105,9.0,6.383,87.0,14.0,29.577464788732392
106,9.0,5.688000000000001,82.0,20.5,29.577464788732392
107,9.0,6.0605,84.5,17.0,29.577464788732392
108,9.0,5.010999999999999,79.0,27.0,29.577464788732392
109,10.0,6.51,71.0,22.0,32.3943661971831
110,9.0,5.439,71.0,22.0,29.577464788732392
111,9.0,5.689,71.0,19.5,29.577464788732392
112,9.0,5.484,76.0,22.0,29.577464788732392
113,8.5,4.874750000000001,73.5,22.5,28.169014084507044
114,8.0,4.538,73.5,20.5,26.76056338028169
115,8.0,4.9079999999999995,76.0,17.0,26.76056338028169
116,8.0,4.558,76.0,20.5,26.76056338028169
117,8.5,5.02475,73.5,21.0,28.169014084507044
118,9.0,4.984,76.0,27.0,29.577464788732392
119,10.0,5.91,71.0,28.0,32.3943661971831
120,10.0,5.734999999999999,73.5,30.0,32.3943661971831
121,10.0,5.84,79.0,29.5,32.3943661971831
122,11.0,6.9745,79.5,29.0,35.2112676056338
123,11.0,6.635,85.0,33.0,35.2112676056338
124,11.5,7.1775,85.0,33.0,36.61971830985916
125,12.0,7.734,82.0,32.5,38.028169014084504
126,12.0,7.834,82.0,31.5,38.028169014084504
127,12.0,8.454,79.5,25.0,38.028169014084504
128,12.0,7.894,74.5,30.0,38.028169014084504
129,12.5,8.41875,69.5,29.5,39.436619718309856
130,13.0,9.071,67.0,28.0,40.845070422535215
131,13.0,9.271,67.0,26.0,40.845070422535215
132,13.0,8.818999999999999,63.0,30.0,40.845070422535215
133,13.0,9.219,63.0,26.0,40.845070422535215
134,13.5,9.06125,67.5,33.5,42.25352112676056
135,13.0,8.3335,79.5,37.0,40.845070422535215
136,13.5,9.1475,85.0,35.0,42.25352112676056
137,15.0,10.629999999999999,82.0,36.0,46.478873239436616
138,15.5,10.5935,77.0,41.0,47.88732394366197
139,15.0,9.68,72.0,44.0,46.478873239436616
140,15.0,9.92,68.0,41.0,46.478873239436616
